id,navn,avsender,underkategori,pulje,hovedposisjon,dissens,arg_n,argumenter,hovedbudskap
1,"Privatperson (Long Covid + ME, Fredrikstad-program-skadet)",,pasient_long_covid_me_skadet,,A_klar,False,10,pem_kjerne;egen_retningslinje;skille_me_long_covid_utmattelse;nice_2021;aktivitet_pacing;trening_skadelig_egen_erfaring;fredrikstad_kommune_long_covid_program_skadelig;varig_forverring;kunnskapsgrunnlag_internasjonalt;implementering_kursing,"A_klar pasient med både Long Covid og ME. Hovedanke: PEM som sentralt symptom og avgjørende funksjonsbegrensende faktor — krever at diagnostikk og oppfølging tar PEM på alvor som forskjellig mekanisme fra generell utmattelse, slitenhet eller utbrenthet. **Konkret skadelig erfaring**: 'Jeg gikk dessverre på et program for Long Covid i Fredrikstad kommune som inkluderte trening. Det gjorde meg varig sykere. Vi lærte ikke noe om PEM'. Substantielt krav: 'Råd om aktivitet aldri skal innebære anbefaling om økt fysisk eller kognitiv trening som overskrider pasientens energitoleranse'. Refererer NICE guidelines for ME/CFS som internasjonalt anerkjente kunnskapsbaserte råd som vektlegger å unngå forverring gjennom feilaktig trening."
10,Privatperson (12. mal-instans + detaljert PEM-symptombeskrivelse),,pasient_eller_pårørende_mal_pluss_pem_detalj,,A_klar,False,15,pem_kjerne;pem_kardinalsymptom;egen_retningslinje;icd_g93_3;skille_me_utmattelse;biologisk_lidelse;stan_mal_setning;pem_lammelser_egen;balanse_dårlig_pem;pem_forkjølelse_symptomer;dagligvarer_pem_trigger;bpa_info_savnes;lege_egen_vite_best_kritikk;individuell_tilpasning_personalisert;fastlege_legebytte_uakseptabelt,"A_klar med standardmalsetningen + substansielt eget materiale i bakgrunn_metode-feltet (12. mal-instans). Innsender plasserer seg med flere diagnoser hvor utmattelse er symptom. **Detaljert PEM-beskrivelse** med ME-spesifikt symptombilde: 'Under PEM kan vi med ME få forkjølelse symptomer som en del av forverringen som kan vare i 3-4 dager. Mens andre sånn som blandt annet meg kan få lammelser som starter i PEM og som gjør at jeg trenger flere dager på å få tilbake med stødig motorikk. Lammelsene var ikke nødvendigvis lenger enn 7-8 timer'. Konkret eksempel: 'bare det å ta en dusj, kle seg, klesvask, mat laging eller andre ting som man gjør i en vanlig hverdag sender meg inn i en ny PEM runde'. **Substantielle operative kritikker**: (1) for vanskelig å få ME-utredning hos fastlege — krever legebytte; (2) ME-pasienter burde få mer info om BPA; (3) sjelden lege-attitydekritikk: 'Leger ønsker å vite best selv og hører ikke på erfaring fra annet helsepersonell på individuell tilpasning'."
100,Privatperson (varige skader-advarsel),,pasient_eller_pårørende_aktivist,,A_klar,False,4,egen_retningslinje;utmattelse_bare_ett_symptom;varige_skader_advarsel;konsekvenser_pasient_samfunn,Eget formulert A_klar. 'Behandling som virker på andre utmattelsestilstander kan gi varige alvorlige skader'.
101,Privatperson (32. mal-instans + energiøkonomisering-term),,pasient_eller_pårørende_mal_pluss,,A_klar,False,7,egen_retningslinje;stan_mal_setning;energiøkonomisering_term;sanseinntrykk_belastning;berøring_temperatur_lyd;nav_kompetansegrunnlag_sprikende;faglig_vitenskapelig_grunnlag,32. mal-instans + **energiøkonomisering** istedenfor 'aktivitetsregulering' — mer presis term som inkluderer sanseinntrykk.
102,"Privatperson (68. mal-instans, ren)",,pasient_eller_pårørende_mal_ren,,A_klar,False,2,egen_retningslinje;stan_mal_setning,68. mal-instans.
103,"Privatperson (113. mal-instans, ren)",,pasient_eller_pårørende_mal_ren,,A_klar,False,2,egen_retningslinje;stan_mal_setning,"113. mal-instans, ren standardmal."
104,"Privatperson (strukturert A_klar, WHO 2022-kategori-distinksjon)",,fagperson_privat_sannsynlig,,A_klar,False,17,pem_kjerne;egen_retningslinje;skille_me_utmattelse;canadakriteriene_støtte;icd_g93_3;icd_11_postviral_nevrologisk;who_2022_diagnose;fatigue_utelukkelsesdiagnose;nice_2021;internasjonal_sammenlikning;us_uk_tyskland_nederland_belgia;biomedisinsk_forskning;haukeland_forskning;lightning_process_advarsel_nice;alternativ_behandling_kritikk;spesialistteam_diagnose;fastlege_kompetansemangel,"A_klar med systematisk strukturert argumentasjon — fem alfabetiserte punkter (a-e). Hovedanke: ME/CFS etter Canadakriteriene må få egen retningslinje, eller alternativt at løpene for ME/CFS med PEM og annen generell utmattelse 'klart skilles i retningslinjene'. **WHO 2022-distinksjonen presist artikulert**: 'WHOs siste diagnosekriterier fra 2022 som skiller mellom postvirale sykdommer (ME/CFS = kategorisert som nevrologisk sykdom), og utelukkelsesdiagnosen Fatigue eller Kronisk utmattelse (ikke kategorisert under nevrologiske sykdommer)'. Konsekvensen: 'Det er vanskelig å forstå hvorfor Helsedirektoratet velger å ignorere WHOs diagnosesystem på denne måten'. Substantiell **internasjonal sammenlikning**: 'USA, UK, Tyskland, Nederland, Belgia osv.' har 'gått bort fra den utdaterte forståelsen av ME/CFS som Helsedirektoratet legger til grunne'. Implementeringsforslag: (1) mer støtte til biomedisinsk ME-forskning, særlig Haukeland; (2) opplæring av helsepersonell i biomedisinsk forståelse i overensstemmelse med internasjonal forskningsfront; (3) **advarsel mot alternativ behandling i samsvar med NICE-kriteriene om Lightning Process**."
105,"Privatperson (Recovery Norge-tallkritikk, NICE-orientert)",,pasient_eller_pårørende_aktivist,,A_klar,False,10,pem_kjerne;egen_retningslinje;skille_me_utmattelse;nice_2021;recovery_norge_200_300_medlemmer_tallkritikk;recovery_norge_økonomisk_vinning;psykologisering;biologisk_sykdom;todelt_løp_minimum;tusenvis_me_syke,"A_klar med klar NICE-orientering og Recovery Norge-tallkritikk. Hovedanke: krav om egen retningslinje for ME/CFS. **Konkret tallkritikk** av Recovery Norge: 'Det finnes tusenvis av ME syke og dere legger mest vekt på de 200/300 personene i Recovery Norge'. Anklager Recovery Norge for økonomisk vinning: 'ble opprettet av personer med økonomisk vinning til denne behandlingsformen'. Krever 'iallfall to undergrupper, der behandling og oppfølging er ulik. Og PEM blir hensyntatt'."
106,"Privatperson (65. mal-instans, mor-pårørende-sønn)",,pasient_eller_pårørende_mal_pluss,,A_klar,False,4,egen_retningslinje;stan_mal_setning;pårørende_sønn_familie_clustering;familie_clustering,65. mal-instans. 65. mal-instans. ME-syk mor + pårørende sønn — 7. familiær ME-clustering.
107,"Privatperson (PEM-strukturert, standardmal-bruker)",,pasient_eller_pårørende,,A_klar,False,18,pem_kjerne;pem_definisjon;pem_forsinket;egen_retningslinje;skille_me_utmattelse;canadakriteriene_støtte;icd_g93_3;multisystemisk_sykdom;biomedisinsk_orientering;immunologiske_funn;metabolske_funn;autonome_forstyrrelser;biopsykososial_kritikk;aktivitet_pacing;kunnskapsgrunnlag_internasjonalt;alvorlig_grad_synlig;alvorlig_grad_egne_føringer;stan_mal_setning,"Strukturert A_klar-innspill med PEM som hovedaksen. Åpner med standardmalsetningen (femte dokumenterte instans): 'Jeg aksepterer ikke at retningslinjen blander sammen ME med andre tilstander. Det er ikke hensiktsmessig og vil føre til fortsatt feil og skadelig behandling. Jeg krever en egen retningslinje kun for ME, G93.3.' Fem konkrete punkter til retningslinjen: (1) tydeligere skille mellom ME/CFS og annen langvarig utmattelse; (2) tydeligere beskrivelse av PEM som forsinket, kan vare dager/uker/lenger; (3) at tiltak/behandling som utløser PEM kan medføre varig funksjonsfall; (4) beskrivelse av alvorlighetsgrad (moderat → svært alvorlig sengeliggende); (5) reflektering av nyere biomedisinsk forskning (immunologiske, metabolske, autonome forstyrrelser). Lavmælt, akademisk-strukturert tone. Avsluttes med håp om at innspillet kan bidra til at 'personer med ME/CFS får trygg, kunnskapsbasert og forsvarlig oppfølging'."
